material_type,test_number,yield_strength_mpa
Steel,1,385.2
Steel,2,412.5
Steel,3,398.7
Steel,4,405.3
Steel,5,391.8
Steel,6,419.2
Steel,7,388.5
Steel,8,401.9
Steel,9,394.6
Steel,10,407.4
Steel,11,382.3
Steel,12,416.7
Steel,13,389.1
Steel,14,403.8
Steel,15,396.2
Steel,16,410.5
Steel,17,387.4
Steel,18,400.9
Steel,19,393.7
Steel,20,408.1
Steel,21,384.6
Steel,22,414.3
Steel,23,390.8
Steel,24,402.5
Steel,25,395.3
Steel,26,409.6
Steel,27,386.9
Steel,28,399.4
Steel,29,392.8
Steel,30,406.2
Steel,31,383.5
Steel,32,417.8
Steel,33,388.2
Steel,34,404.7
Steel,35,397.1
Steel,36,411.4
Steel,37,385.7
Steel,38,401.2
Steel,39,394.5
Steel,40,407.9
Steel,41,381.6
Steel,42,415.1
Steel,43,389.9
Steel,44,403.3
Steel,45,396.8
Steel,46,410.2
Steel,47,387.6
Steel,48,400.1
Steel,49,393.4
Steel,50,408.7
Concrete,1,32.5
Concrete,2,38.7
Concrete,3,35.2
Concrete,4,36.9
Concrete,5,34.1
Concrete,6,39.5
Concrete,7,33.8
Concrete,8,37.4
Concrete,9,35.6
Concrete,10,38.2
Concrete,11,32.9
Concrete,12,40.1
Concrete,13,34.5
Concrete,14,36.7
Concrete,15,35.9
Concrete,16,38.9
Concrete,17,33.2
Concrete,18,37.7
Concrete,19,35.3
Concrete,20,39.1
Concrete,21,32.6
Concrete,22,38.4
Concrete,23,34.8
Concrete,24,36.5
Concrete,25,35.7
Concrete,26,38.6
Concrete,27,33.5
Concrete,28,37.2
Concrete,29,35.4
Concrete,30,39.3
Concrete,31,32.3
Concrete,32,38.1
Concrete,33,34.7
Concrete,34,36.8
Concrete,35,35.5
Concrete,36,38.8
Concrete,37,33.6
Concrete,38,37.5
Concrete,39,35.8
Concrete,40,39.6
Concrete,41,32.7
Concrete,42,38.3
Concrete,43,34.9
Concrete,44,36.6
Concrete,45,35.1
Concrete,46,39.0
Concrete,47,33.4
Concrete,48,37.6
Concrete,49,35.9
Concrete,50,38.5
Aluminum,1,188.5
Aluminum,2,205.3
Aluminum,3,192.7
Aluminum,4,199.1
Aluminum,5,186.2
Aluminum,6,212.4
Aluminum,7,189.8
Aluminum,8,196.5
Aluminum,9,191.3
Aluminum,10,203.7
Aluminum,11,187.6
Aluminum,12,208.9
Aluminum,13,190.4
Aluminum,14,197.8
Aluminum,15,193.1
Aluminum,16,206.2
Aluminum,17,188.9
Aluminum,18,195.4
Aluminum,19,192.2
Aluminum,20,204.6
Aluminum,21,187.1
Aluminum,22,210.1
Aluminum,23,190.7
Aluminum,24,198.3
Aluminum,25,193.6
Aluminum,26,207.5
Aluminum,27,189.2
Aluminum,28,196.1
Aluminum,29,191.8
Aluminum,30,203.2
Aluminum,31,186.8
Aluminum,32,209.4
Aluminum,33,190.1
Aluminum,34,197.4
Aluminum,35,192.9
Aluminum,36,205.8
Aluminum,37,188.3
Aluminum,38,195.7
Aluminum,39,192.5
Aluminum,40,204.2
Aluminum,41,187.4
Aluminum,42,211.2
Aluminum,43,190.9
Aluminum,44,198.6
Aluminum,45,193.3
Aluminum,46,207.1
Aluminum,47,189.5
Aluminum,48,196.8
Aluminum,49,191.6
Aluminum,50,203.9
Composite,1,285.3
Composite,2,312.7
Composite,3,298.1
Composite,4,305.5
Composite,5,291.8
Composite,6,319.2
Composite,7,288.4
Composite,8,301.9
Composite,9,294.6
Composite,10,307.3
Composite,11,282.2
Composite,12,316.6
Composite,13,289.8
Composite,14,303.7
Composite,15,296.2
Composite,16,310.4
Composite,17,287.5
Composite,18,300.8
Composite,19,293.7
Composite,20,308.1
Composite,21,284.6
Composite,22,314.2
Composite,23,290.7
Composite,24,302.4
Composite,25,295.3
Composite,26,309.5
Composite,27,286.8
Composite,28,299.3
Composite,29,292.7
Composite,30,306.1
Composite,31,283.4
Composite,32,317.7
Composite,33,288.1
Composite,34,304.6
Composite,35,297.0
Composite,36,311.3
Composite,37,285.6
Composite,38,301.1
Composite,39,294.4
Composite,40,307.8
Composite,41,281.5
Composite,42,315.0
Composite,43,289.8
Composite,44,303.2
Composite,45,296.7
Composite,46,310.1
Composite,47,287.5
Composite,48,300.0
Composite,49,293.3
Composite,50,308.6

