timestamp,load_kN,component_type
2024-01-01 00:00:00,28.5,Beam_A
2024-01-01 01:00:00,32.1,Beam_B
2024-01-01 02:00:00,25.8,Column_A
2024-01-01 03:00:00,29.3,Column_B
2024-01-01 04:00:00,22.4,Beam_A
2024-01-01 05:00:00,26.7,Beam_B
2024-01-01 06:00:00,30.2,Column_A
2024-01-01 07:00:00,33.9,Column_B
2024-01-01 08:00:00,35.1,Beam_A
2024-01-01 09:00:00,31.6,Beam_B
2024-01-01 10:00:00,28.3,Column_A
2024-01-01 11:00:00,27.5,Column_B
2024-01-01 12:00:00,29.8,Beam_A
2024-01-01 13:00:00,32.4,Beam_B
2024-01-01 14:00:00,30.9,Column_A
2024-01-01 15:00:00,28.6,Column_B
2024-01-01 16:00:00,26.2,Beam_A
2024-01-01 17:00:00,24.8,Beam_B
2024-01-01 18:00:00,27.3,Column_A
2024-01-01 19:00:00,31.7,Column_B
2024-01-01 20:00:00,34.2,Beam_A
2024-01-01 21:00:00,29.5,Beam_B
2024-01-01 22:00:00,26.9,Column_A
2024-01-01 23:00:00,23.4,Column_B
2024-01-02 00:00:00,25.1,Beam_A
2024-01-02 01:00:00,28.7,Beam_B
2024-01-02 02:00:00,30.4,Column_A
2024-01-02 03:00:00,32.8,Column_B
2024-01-02 04:00:00,24.6,Beam_A
2024-01-02 05:00:00,27.2,Beam_B
2024-01-02 06:00:00,29.9,Column_A
2024-01-02 07:00:00,33.1,Column_B
2024-01-02 08:00:00,35.5,Beam_A
2024-01-02 09:00:00,31.3,Beam_B
2024-01-02 10:00:00,28.0,Column_A
2024-01-02 11:00:00,26.5,Column_B
2024-01-02 12:00:00,30.1,Beam_A
2024-01-02 13:00:00,32.6,Beam_B
2024-01-02 14:00:00,30.8,Column_A
2024-01-02 15:00:00,28.4,Column_B
2024-01-02 16:00:00,25.9,Beam_A
2024-01-02 17:00:00,24.3,Beam_B
2024-01-02 18:00:00,27.6,Column_A
2024-01-02 19:00:00,31.9,Column_B
2024-01-02 20:00:00,34.3,Beam_A
2024-01-02 21:00:00,29.6,Beam_B
2024-01-02 22:00:00,27.1,Column_A
2024-01-02 23:00:00,23.7,Column_B
2024-01-03 00:00:00,25.4,Beam_A
2024-01-03 01:00:00,28.9,Beam_B
2024-01-03 02:00:00,30.5,Column_A
2024-01-03 03:00:00,32.9,Column_B
2024-01-03 04:00:00,24.8,Beam_A
2024-01-03 05:00:00,27.5,Beam_B
2024-01-03 06:00:00,30.2,Column_A
2024-01-03 07:00:00,33.4,Column_B
2024-01-03 08:00:00,35.8,Beam_A
2024-01-03 09:00:00,31.6,Beam_B
2024-01-03 10:00:00,28.2,Column_A
2024-01-03 11:00:00,26.8,Column_B
2024-01-03 12:00:00,30.5,Beam_A
2024-01-03 13:00:00,33.0,Beam_B
2024-01-03 14:00:00,31.1,Column_A
2024-01-03 15:00:00,28.7,Column_B
2024-01-03 16:00:00,26.2,Beam_A
2024-01-03 17:00:00,24.6,Beam_B
2024-01-03 18:00:00,28.0,Column_A
2024-01-03 19:00:00,32.2,Column_B
2024-01-03 20:00:00,34.6,Beam_A
2024-01-03 21:00:00,29.9,Beam_B
2024-01-03 22:00:00,27.4,Column_A
2024-01-03 23:00:00,24.0,Column_B
2024-01-04 00:00:00,25.7,Beam_A
2024-01-04 01:00:00,29.2,Beam_B
2024-01-04 02:00:00,30.9,Column_A
2024-01-04 03:00:00,33.2,Column_B
2024-01-04 04:00:00,25.1,Beam_A
2024-01-04 05:00:00,27.8,Beam_B
2024-01-04 06:00:00,30.5,Column_A
2024-01-04 07:00:00,33.7,Column_B
2024-01-04 08:00:00,36.1,Beam_A
2024-01-04 09:00:00,31.9,Beam_B
2024-01-04 10:00:00,28.5,Column_A
2024-01-04 11:00:00,27.1,Column_B
2024-01-04 12:00:00,30.8,Beam_A
2024-01-04 13:00:00,33.3,Beam_B
2024-01-04 14:00:00,31.4,Column_A
2024-01-04 15:00:00,29.0,Column_B
2024-01-04 16:00:00,26.5,Beam_A
2024-01-04 17:00:00,24.9,Beam_B
2024-01-04 18:00:00,28.3,Column_A
2024-01-04 19:00:00,32.5,Column_B
2024-01-04 20:00:00,34.9,Beam_A
2024-01-04 21:00:00,30.2,Beam_B
2024-01-04 22:00:00,27.7,Column_A
2024-01-04 23:00:00,24.3,Column_B
2024-01-05 00:00:00,26.0,Beam_A
2024-01-05 01:00:00,29.5,Beam_B
2024-01-05 02:00:00,31.2,Column_A
2024-01-05 03:00:00,33.5,Column_B
2024-01-05 04:00:00,25.4,Beam_A
2024-01-05 05:00:00,28.1,Beam_B
2024-01-05 06:00:00,30.8,Column_A
2024-01-05 07:00:00,34.0,Column_B
2024-01-05 08:00:00,36.4,Beam_A
2024-01-05 09:00:00,32.2,Beam_B
2024-01-05 10:00:00,28.8,Column_A
2024-01-05 11:00:00,27.4,Column_B
2024-01-05 12:00:00,31.1,Beam_A
2024-01-05 13:00:00,33.6,Beam_B
2024-01-05 14:00:00,31.7,Column_A
2024-01-05 15:00:00,29.3,Column_B
2024-01-05 16:00:00,26.8,Beam_A
2024-01-05 17:00:00,25.2,Beam_B
2024-01-05 18:00:00,28.6,Column_A
2024-01-05 19:00:00,32.8,Column_B
2024-01-05 20:00:00,35.2,Beam_A
2024-01-05 21:00:00,30.5,Beam_B
2024-01-05 22:00:00,28.0,Column_A
2024-01-05 23:00:00,24.6,Column_B
2024-01-06 00:00:00,26.3,Beam_A
2024-01-06 01:00:00,29.8,Beam_B
2024-01-06 02:00:00,31.5,Column_A
2024-01-06 03:00:00,33.8,Column_B
2024-01-06 04:00:00,25.7,Beam_A
2024-01-06 05:00:00,28.4,Beam_B
2024-01-06 06:00:00,31.1,Column_A
2024-01-06 07:00:00,34.3,Column_B
2024-01-06 08:00:00,36.7,Beam_A
2024-01-06 09:00:00,32.5,Beam_B
2024-01-06 10:00:00,29.1,Column_A
2024-01-06 11:00:00,27.7,Column_B
2024-01-06 12:00:00,31.4,Beam_A
2024-01-06 13:00:00,33.9,Beam_B
2024-01-06 14:00:00,32.0,Column_A
2024-01-06 15:00:00,29.6,Column_B
2024-01-06 16:00:00,27.1,Beam_A
2024-01-06 17:00:00,25.5,Beam_B
2024-01-06 18:00:00,28.9,Column_A
2024-01-06 19:00:00,33.1,Column_B
2024-01-06 20:00:00,35.5,Beam_A
2024-01-06 21:00:00,30.8,Beam_B
2024-01-06 22:00:00,28.3,Column_A
2024-01-06 23:00:00,24.9,Column_B
2024-01-07 00:00:00,26.6,Beam_A
2024-01-07 01:00:00,30.1,Beam_B
2024-01-07 02:00:00,31.8,Column_A
2024-01-07 03:00:00,34.1,Column_B
2024-01-07 04:00:00,26.0,Beam_A
2024-01-07 05:00:00,28.7,Beam_B
2024-01-07 06:00:00,31.4,Column_A
2024-01-07 07:00:00,34.6,Column_B
2024-01-07 08:00:00,37.0,Beam_A
2024-01-07 09:00:00,32.8,Beam_B
2024-01-07 10:00:00,29.4,Column_A
2024-01-07 11:00:00,28.0,Column_B
2024-01-07 12:00:00,31.7,Beam_A
2024-01-07 13:00:00,34.2,Beam_B
2024-01-07 14:00:00,32.3,Column_A
2024-01-07 15:00:00,29.9,Column_B
2024-01-07 16:00:00,27.4,Beam_A
2024-01-07 17:00:00,25.8,Beam_B
2024-01-07 18:00:00,29.2,Column_A
2024-01-07 19:00:00,33.4,Column_B
2024-01-07 20:00:00,35.8,Beam_A
2024-01-07 21:00:00,31.1,Beam_B
2024-01-07 22:00:00,28.6,Column_A
2024-01-07 23:00:00,25.2,Column_B
2024-01-08 00:00:00,26.9,Beam_A
2024-01-08 01:00:00,30.4,Beam_B
2024-01-08 02:00:00,32.1,Column_A
2024-01-08 03:00:00,34.4,Column_B
2024-01-08 04:00:00,26.3,Beam_A
2024-01-08 05:00:00,29.0,Beam_B
2024-01-08 06:00:00,31.7,Column_A
2024-01-08 07:00:00,34.9,Column_B
2024-01-08 08:00:00,37.3,Beam_A
2024-01-08 09:00:00,33.1,Beam_B
2024-01-08 10:00:00,29.7,Column_A
2024-01-08 11:00:00,28.3,Column_B
2024-01-08 12:00:00,32.0,Beam_A
2024-01-08 13:00:00,34.5,Beam_B
2024-01-08 14:00:00,32.6,Column_A
2024-01-08 15:00:00,30.2,Column_B
2024-01-08 16:00:00,27.7,Beam_A
2024-01-08 17:00:00,26.1,Beam_B
2024-01-08 18:00:00,29.5,Column_A
2024-01-08 19:00:00,33.7,Column_B
2024-01-08 20:00:00,36.1,Beam_A
2024-01-08 21:00:00,31.4,Beam_B
2024-01-08 22:00:00,28.9,Column_A
2024-01-08 23:00:00,25.5,Column_B

